,property name,property street,property city,property state,property zipcode,Studio,1 Bedroom,2 Bedrooms,3 Bedrooms,Latitude,Longitude,URL
128,Dalian on the Park,501 N 22nd St,Philadelphia,PA,19130,Call for Rent,"$2,765 – 3,821","$3,856 – 4,844",NA,39.96326,-75.17386,https://www.apartments.com/dalian-on-the-park-philadelphia-pa/n3k3jhm/
129,Oxford House Apartments,6451-6461 Oxford Ave,Philadelphia,PA,19111,NA,"$1,010 – 1,115","$1,275","$1,500",40.04626,-75.08634,https://www.apartments.com/oxford-house-apartments-philadelphia-pa/b0sj6x9/
130,Falls Bridge Lofts,4328 Ridge Ave,Philadelphia,PA,19129,"$1,350","$1,525","$1,900 – 2,000",NA,40.01004,-75.19816,https://www.apartments.com/falls-bridge-lofts-philadelphia-pa/vwnwvqe/
131,Regency Townhomes,3501 Woodhaven Rd,Philadelphia,PA,19154,NA,NA,"$1,229 – 1,279","$1,329 – 1,379",40.094,-74.97826,https://www.apartments.com/regency-townhomes-philadelphia-pa/qwk134z/
132,Park Heights Apartments,5555 Wissahickon Ave,Philadelphia,PA,19144,$775 – 975,"$925 – 1,200","$1,265 – 1,600","$1,650 – 1,900",40.02722,-75.18252,https://www.apartments.com/park-heights-apartments-philadelphia-pa/l3l449d/
133,the metropolitan roxborough,7841 Ridge Ave,Philadelphia,PA,19128,NA,"$1,105 – 1,245","$1,300 – 1,400",NA,40.05371,-75.23563,https://www.apartments.com/the-metropolitan-roxborough-philadelphia-pa/g8y20sx/
134,Holme Circle Apartments,2800 Axe Factory Rd,Philadelphia,PA,19152,NA,$925,"$1,100 – 1,150",NA,40.05784,-75.02978,https://www.apartments.com/holme-circle-apartments-philadelphia-pa/qv0kkwx/
135,Pelham Court Apartments,6803 Emlen St,Philadelphia,PA,19119,NA,NA,"$1,398",NA,40.05002,-75.19035,https://www.apartments.com/pelham-court-apartments-philadelphia-pa/v2pbmwf/
136,Green Street Apartments,2113 Green St,Philadelphia,PA,19130,NA,"$1,250 – 1,400","$1,700 – 1,750",NA,39.96549,-75.17311,https://www.apartments.com/green-street-apartments-philadelphia-pa/h9h3jz0/
137,1700 Walnut Street,1700 Walnut St,Philadelphia,PA,19103,NA,"$1,525 – 2,200","$2,600 – 3,100",NA,39.94966,-75.16933,https://www.apartments.com/1700-walnut-street-philadelphia-pa/6x57ykt/
138,Montclair Duplex Apartments,8526 Alicia St,Philadelphia,PA,19111,NA,NA,"$1,085 – 1,095",NA,40.083,-75.07421,https://www.apartments.com/montclair-duplex-apartments-philadelphia-pa/y7jtpvt/
139,Furnished Rittenhouse Square One Bedroom,250 S 17th St,Philadelphia,PA,19103,NA,"$2,000 – 2,300",NA,NA,39.94834,-75.16962,https://www.apartments.com/furnished-rittenhouse-square-one-bedroom-philadelphia-pa/9s86gs4/
140,The Axis,20 S 36th St,Philadelphia,PA,19104,"$850 – 1,300",NA,NA,NA,39.95519,-75.19461,https://www.apartments.com/the-axis-philadelphia-pa/lwqxhqd/
141,The Palmer,18 E Lancaster Ave,Wynnewood,PA,19096,NA,"$1,400 – 1,890","$1,550 – 2,425","$3,100 – 3,500",39.98843,-75.25552,https://www.apartments.com/the-palmer-wynnewood-pa/7s6eesx/
142,Grandview Gardens Apartments,957 Bristol Pike,Bensalem,PA,19020,NA,"$845 – 1,320","$1,045 – 1,635",NA,40.06607,-74.97041,https://www.apartments.com/grandview-gardens-apartments-bensalem-pa/8bmf3t0/
143,Village Square Apartments,1600 Brookwood Dr,Bensalem,PA,19020,NA,"$1,050 – 1,585","$1,170 – 1,670",NA,40.09475,-74.94005,https://www.apartments.com/village-square-apartments-bensalem-pa/r5bn5g3/
144,Lincoln Woods,9801 Germantown Pike,Lafayette Hill,PA,19444,NA,"$1,350 – 1,610","$1,830 – 2,035",NA,40.08666,-75.23069,https://www.apartments.com/lincoln-woods-lafayette-hill-pa/65033mv/
145,Knights Crossing,3404 Knights Rd,Bensalem,PA,19020,NA,$925 – 935,"$1,100 – 1,130",NA,40.11209,-74.94605,https://www.apartments.com/knights-crossing-bensalem-pa/9yxv4h7/
146,11 Cooper,11 Cooper St,Camden,NJ,08102,"$995 – 1,260","$1,095 – 2,850","$1,950 – 2,170",NA,39.94868,-75.12844,https://www.apartments.com/11-cooper-camden-nj/tgslg68/
147,Bensalem Commons Apartments,944 Station Ave,Bensalem,PA,19020,NA,NA,NA,NA,40.07488,-74.95316,https://www.apartments.com/bensalem-commons-apartments-bensalem-pa/rp4v6g3/
148,Copley Manor Apartments,121-123 W Tulpehocken St,Philadelphia,PA,19144,NA,$895,NA,NA,40.03994,-75.18266,https://www.apartments.com/copley-manor-apartments-philadelphia-pa/nset86q/
149,Rittenhouse Claridge,201 S 18th St,Philadelphia,PA,19103,"$1,430 – 2,790","$1,850 – 3,980","$3,120 – 4,360",Call for Rent,39.94979,-75.1704,https://www.apartments.com/rittenhouse-claridge-philadelphia-pa/dk9gwtl/
150,Touraine,1520 Spruce St,Philadelphia,PA,19102,"$1,775 – 2,105","$2,000 – 4,500","$4,035 – 6,195","$6,765 – 7,765",39.94689,-75.16768,https://www.apartments.com/touraine-philadelphia-pa/7fs0qcy/
151,Garden Court Plaza Apartments,4701 Pine St,Philadelphia,PA,19143,"$1,045 – 1,695","$1,470 – 2,235","$1,595 – 3,015","$2,045 – 3,215",39.95261,-75.21676,https://www.apartments.com/garden-court-plaza-apartments-philadelphia-pa/8ws64l2/
152,Chestnut Hall Apartments,3900 Chestnut St,Philadelphia,PA,19104,"$1,169 – 3,155","$1,454 – 4,028","$1,629 – 2,714",NA,39.95496,-75.20035,https://www.apartments.com/chestnut-hall-apartments-philadelphia-pa/38kt07e/
153,The Left Bank Apartments,3131 Walnut St,Philadelphia,PA,19104,Call for Rent,"$2,139 – 6,353",Call for Rent,"$4,014 – 6,177",39.95287,-75.18738,https://www.apartments.com/the-left-bank-apartments-philadelphia-pa/eyzwdvp/
154,Hathaway House,515 W Chelten Ave,Philadelphia,PA,19144,"$1,137","$1,266 – 1,459","$1,468 – 1,756","$1,673 – 1,806",40.02777,-75.18353,https://www.apartments.com/hathaway-house-philadelphia-pa/kst7mfc/
155,Hampton Gardens Apartments,13451 Philmont Ave,Philadelphia,PA,19116,$785,NA,"$990 – 1,150",NA,40.13164,-75.0158,https://www.apartments.com/hampton-gardens-apartments-philadelphia-pa/f7vw03t/
156,Leverington Court Apartments,631 Leverington Ave,Philadelphia,PA,19128,$915,"$1,230 – 1,330","$1,400",NA,40.03745,-75.21236,https://www.apartments.com/leverington-court-apartments-philadelphia-pa/5r9pdlm/
